#file	clusteren	cluster-cluster
231_seed.data	-844.35289753134	-274.361004064132
232_seed.data	-1050.47556918844	-368.971269252084
233_seed.data	-874.647991965998	-487.81954738546
234_seed.data	-1103.48172502505	-427.10791603633
235_seed.data	-1081.07117766695	-479.347948950403
236_seed.data	-1104.34342509904	-490.013797388746
237_seed.data	-958.474388332176	-354.627977130279
238_seed.data	-916.518743004852	-305.561203924139
239_seed.data	-1075.22919029632	-432.942295765045
240_seed.data	-968.89798627639	-452.807424516219
241_seed.data	-926.935756019831	-362.317064397663
242_seed.data	-1085.57135132731	-460.683010800671
243_seed.data	-950.444612498166	-452.984826523596
244_seed.data	-868.821353605089	-363.774829428749
245_seed.data	-1165.17229923673	-539.516504254236
246_seed.data	-1290.41133352858	-709.560330396044
247_seed.data	-1308.91779157128	-591.197847764614
248_seed.data	-858.254708639232	-388.225727741483
249_seed.data	-901.704168324033	-350.595767252492
250_seed.data	-977.994989450584	-395.859473101337
251_seed.data	-833.393538677856	-256.8996494617
252_seed.data	-829.657074539839	-319.62266924501
253_seed.data	-923.356259202322	-336.740567275817
254_seed.data	-848.160193473736	-400.571356880743
255_seed.data	-892.046266196749	-329.290574948299
256_seed.data	-1058.15330944916	-506.075500453972
257_seed.data	-927.6239627592	-290.736670636765
258_seed.data	-1108.91106285637	-624.798618481213
259_seed.data	-1253.29239207896	-494.987424631879
260_seed.data	-971.238077304576	-401.650613096028
261_seed.data	-1316.88789521394	-470.838587672135
262_seed.data	-857.958471354503	-292.543466707957
263_seed.data	-1207.41388102762	-488.543630753144
264_seed.data	-1009.10953229411	-431.912485803796
265_seed.data	-859.691053685264	-356.905216716179
266_seed.data	-1180.40235571727	-641.824238517453
267_seed.data	-882.695374234852	-364.067799143438
268_seed.data	-815.350185486041	-303.09468677459
269_seed.data	-1031.73273279688	-481.014266447575
270_seed.data	-1025.24255207165	-414.195017183103
271_seed.data	-1392.44528573427	-709.461614232143
272_seed.data	-1196.22083727328	-620.986596248484
273_seed.data	-1015.8787205083	-442.511780969459
274_seed.data	-1019.4324261547	-390.857578770358
275_seed.data	-1211.23208679491	-623.072256027927
276_seed.data	-834.024332906546	-283.843851162871
277_seed.data	-1306.24875292637	-649.651444608508
278_seed.data	-1337.09979562427	-499.953884165282
279_seed.data	-1034.4230415504	-406.655000274857
280_seed.data	-1400.70717690107	-699.111076073425
281_seed.data	-907.811854635082	-418.071182115157
282_seed.data	-1395.77223173637	-531.179667680455
283_seed.data	-1191.22083780511	-505.779897051135
