#file	clusteren	cluster-cluster
241_seed.data	-1505.26403431034	-842.140208355017
242_seed.data	-1566.01568036797	-878.610492887769
243_seed.data	-1532.44941337569	-936.251481249544
244_seed.data	-1620.67361119803	-1024.7883520042
245_seed.data	-1823.82621007396	-1068.43578028594
246_seed.data	-1892.82293353982	-1184.67735946754
247_seed.data	-1849.41518463265	-1111.15146085144
248_seed.data	-2002.34484241903	-1331.30588787353
249_seed.data	-1638.95322307268	-994.130923270281
250_seed.data	-1710.51325829769	-1093.04514186927
251_seed.data	-1599.45645241914	-913.58878000036
252_seed.data	-1972.14673991235	-1311.15822665345
253_seed.data	-1873.24685995029	-1243.81747618209
254_seed.data	-1881.76664699567	-1168.46276696429
255_seed.data	-1636.0856098365	-989.494929552877
256_seed.data	-1501.74531873771	-829.465219314273
257_seed.data	-1573.64336257824	-1072.33231356605
258_seed.data	-1855.4741957905	-1197.42849850707
259_seed.data	-1757.56339216864	-1151.06486734147
260_seed.data	-1544.36787709031	-819.934962663977
261_seed.data	-1919.9572169727	-1317.18757001721
262_seed.data	-1705.73086697819	-1060.99074719987
263_seed.data	-1972.91446892722	-1356.71156470623
264_seed.data	-1834.77945801	-1095.54794157018
265_seed.data	-1688.55828257433	-1112.34791055727
266_seed.data	-1906.44896796545	-1300.65282991449
267_seed.data	-1754.57460689916	-1102.84818409443
268_seed.data	-1964.80126477656	-1301.15079755807
269_seed.data	-1607.35250876373	-961.53256234688
270_seed.data	-1955.51405339324	-1307.43471881008
271_seed.data	-1842.12658349446	-1146.21582615451
272_seed.data	-1662.92104170759	-1080.2262799419
273_seed.data	-1640.27818161722	-1031.50611657861
274_seed.data	-1563.97203728179	-873.300831616354
275_seed.data	-1945.07089392417	-1172.41568315698
276_seed.data	-1699.91934590302	-1013.43295002887
277_seed.data	-1641.28033556328	-1115.18646989025
278_seed.data	-1803.76914584622	-1152.550710142
279_seed.data	-1567.85619893481	-968.863379224068
280_seed.data	-1893.05104051965	-1080.80917300143
281_seed.data	-1597.22912277129	-1008.43686612073
282_seed.data	-2000.65948320989	-1343.5137596005
283_seed.data	-1871.93167182674	-1217.76242724908
284_seed.data	-1520.39735850606	-854.178419422698
285_seed.data	-1830.53884598323	-1260.58146037277
286_seed.data	-1556.71059144943	-911.427098693776
287_seed.data	-1554.53852458646	-947.747675322777
288_seed.data	-1571.73320385268	-967.615707549078
289_seed.data	-1801.82297689062	-1255.26938893987
290_seed.data	-1725.87868226629	-1142.5010348039
291_seed.data	-1684.04331747886	-1076.45974967629
292_seed.data	-1538.56617940976	-878.109039858948
293_seed.data	-1674.57583782297	-988.707626311647
294_seed.data	-1627.77411382088	-1056.70950539449
295_seed.data	-1698.81339424237	-984.28999175259
296_seed.data	-1549.25047201607	-979.641009726186
297_seed.data	-1588.44246281006	-1043.40549348354
298_seed.data	-1844.47145392169	-1151.62592419811
299_seed.data	-1561.84435051768	-962.760698977404
300_seed.data	-1629.07702137436	-1023.65169521118
301_seed.data	-1966.22878777571	-1250.76754721205
302_seed.data	-1627.44762952911	-975.11106913639
303_seed.data	-1718.40534903346	-999.251508572926
304_seed.data	-1956.97698785863	-1222.51613561636
305_seed.data	-1833.15552361272	-1161.64063095179
306_seed.data	-1563.44181248991	-956.273982833665
307_seed.data	-1699.84382293789	-1123.54225997676
308_seed.data	-1629.05546007352	-1015.0699792917
309_seed.data	-1513.01540174122	-892.426265069352
310_seed.data	-1492.44983544065	-845.945952569567
311_seed.data	-1901.91343936698	-1183.626076536
312_seed.data	-1940.43515776809	-1240.99499695449
313_seed.data	-1669.72106368343	-1139.94732442966
314_seed.data	-1620.6885740901	-865.291710644463
315_seed.data	-1554.48558075608	-773.750838799567
316_seed.data	-1721.4903766607	-975.81350319353
317_seed.data	-1635.09481137219	-965.743661474559
318_seed.data	-1829.00395766382	-1239.30685112791
319_seed.data	-1528.40947279267	-978.63297187679
320_seed.data	-1645.90973486484	-1029.97491733765
321_seed.data	-1913.12524440976	-1250.40992821473
322_seed.data	-1833.70515547253	-1224.91528559255
323_seed.data	-1621.04231998243	-1045.58180124374
324_seed.data	-1867.90566992775	-1214.86457644363
325_seed.data	-1517.86818341423	-904.9724785359
326_seed.data	-1732.62354673429	-998.464882081882
327_seed.data	-1762.06950242745	-1108.52742779161
328_seed.data	-1845.33449365433	-1273.19290588275
329_seed.data	-1617.09425181527	-1057.66600726924
330_seed.data	-1809.86670021173	-1132.34214861465
331_seed.data	-1542.89023019627	-985.839792110468
332_seed.data	-1972.99162325534	-1321.40998200084
333_seed.data	-1723.80786000472	-1072.10756556948
334_seed.data	-1932.71012548582	-1272.35892945793
335_seed.data	-1689.50303712491	-1025.69208666624
336_seed.data	-1879.46985878714	-1025.8529455295
337_seed.data	-1905.22047807437	-1109.11038790723
338_seed.data	-1690.75860933107	-1080.1432747229
339_seed.data	-1676.78795090662	-1141.62224166124
340_seed.data	-1812.66598754983	-1222.65508215156
341_seed.data	-1999.59513134905	-1260.53222611565
342_seed.data	-1757.77493331225	-1112.54599498159
343_seed.data	-1770.79565151323	-1189.18497022424
344_seed.data	-1888.44393363666	-1136.8914024368
345_seed.data	-1584.56059982939	-983.284818656112
346_seed.data	-1790.2948981641	-1179.6599918652
347_seed.data	-1604.60486682248	-1025.9533347025
348_seed.data	-1536.24842328643	-923.596417089031
349_seed.data	-1821.33747962139	-1172.28752048677
350_seed.data	-1798.21896092106	-1087.20189155899
351_seed.data	-1938.47635896066	-1154.86011616235
352_seed.data	-1663.23505974137	-1113.83471200845
353_seed.data	-1836.21660513545	-1208.33555156856
354_seed.data	-1781.29989540197	-1146.11318765701
355_seed.data	-1720.9374488866	-1059.51306318105
