#file	clusteren	cluster-cluster
788_seed.data	-1295.79945341855	-765.29980520892
789_seed.data	-1239.48919000816	-599.415142833982
790_seed.data	-824.948923225364	-439.023498397534
791_seed.data	-1200.73568846459	-610.426062262911
792_seed.data	-1363.03159329183	-701.363095719023
793_seed.data	-1335.70827560452	-740.896583827689
794_seed.data	-934.341076694528	-354.568634644174
795_seed.data	-1274.72420263922	-804.243109745311
796_seed.data	-970.140176212842	-505.104609688964
797_seed.data	-1252.21751054283	-664.598150660095
798_seed.data	-931.459369273691	-446.276013214731
799_seed.data	-839.217223101617	-521.038908357945
800_seed.data	-1380.07524301818	-796.193817315968
801_seed.data	-1367.27518460244	-663.836312831669
802_seed.data	-1273.21437979969	-720.865047630008
803_seed.data	-1087.16950796523	-629.826958123166
804_seed.data	-1007.58092184099	-502.736613860592
805_seed.data	-893.534543660043	-339.31692968735
806_seed.data	-841.039213801129	-478.020895498975
807_seed.data	-853.352174255034	-381.804221024793
808_seed.data	-1118.61728917263	-596.404223098124
809_seed.data	-910.498054065742	-467.590684831047
810_seed.data	-1329.29058624196	-815.938802394722
811_seed.data	-1266.85818787578	-813.619421852607
812_seed.data	-1142.06281327896	-508.684095475652
813_seed.data	-1348.29076316651	-808.208173980632
814_seed.data	-1333.95834574518	-576.7502894105
815_seed.data	-885.793596966472	-528.532840252327
816_seed.data	-938.244576801257	-379.850782175075
817_seed.data	-1405.08837012415	-732.500708586338
818_seed.data	-1079.02794770047	-635.507773797452
819_seed.data	-1314.93228901946	-783.186202180878
820_seed.data	-972.23513759836	-522.11891170723
821_seed.data	-1506.09245486603	-794.120515242506
822_seed.data	-1210.70874217844	-633.246273418791
823_seed.data	-934.618623028608	-485.667198006691
824_seed.data	-979.754143725996	-605.422941899942
825_seed.data	-848.883454956966	-432.412925332086
826_seed.data	-875.611524285526	-376.14256448441
827_seed.data	-1178.11097384375	-632.933543760814
828_seed.data	-1078.18601755928	-607.353103246971
829_seed.data	-1094.12789776002	-515.024838600057
830_seed.data	-1009.09940850557	-582.85583394465
831_seed.data	-1257.39514764076	-756.38588573699
832_seed.data	-1254.62680746846	-695.414801225243
833_seed.data	-1299.47124587238	-775.30833336382
834_seed.data	-1449.81600734409	-869.149877638227
835_seed.data	-1200.41583704104	-722.635461203242
836_seed.data	-1406.74939260368	-767.211966233226
837_seed.data	-1215.78356583679	-645.545960683266
838_seed.data	-851.804935926972	-430.95723996366
839_seed.data	-1155.68114351612	-636.24639311435
840_seed.data	-1437.45797627377	-872.36042400772
841_seed.data	-959.826178885219	-414.257946550715
842_seed.data	-1303.71511975939	-809.839957743941
843_seed.data	-866.260297871869	-462.321793344778
844_seed.data	-924.397536300006	-459.452885022031
845_seed.data	-972.049375346479	-534.081760350014
846_seed.data	-1279.93407498119	-740.300911213453
847_seed.data	-1149.79819097429	-585.336891613043
848_seed.data	-854.429950868906	-481.897596439478
849_seed.data	-952.257932820727	-371.430093747179
850_seed.data	-1475.2386215125	-935.147917664054
851_seed.data	-1214.3325263605	-696.758158944652
852_seed.data	-1083.48705391078	-560.110889093508
853_seed.data	-1166.1474914213	-701.536680569808
854_seed.data	-1443.32147383303	-768.755837478842
855_seed.data	-1255.93706162977	-741.592137969415
856_seed.data	-900.124727350202	-356.913190611416
857_seed.data	-1410.97742639395	-895.444507491862
858_seed.data	-1043.9640640995	-589.717304600741
859_seed.data	-1066.69744118131	-692.160484852333
860_seed.data	-963.365427702057	-571.950230336396
861_seed.data	-981.957636524962	-402.552392809006
862_seed.data	-992.825548200823	-448.488229286767
863_seed.data	-1316.67529653925	-549.810366170472
864_seed.data	-1357.81063726923	-796.142153820654
865_seed.data	-974.465363371994	-415.304968092056
866_seed.data	-904.509105193862	-553.428074165736
867_seed.data	-1161.57472205981	-653.914627922455
868_seed.data	-972.510425253695	-569.137868323775
869_seed.data	-1211.22435388295	-711.710348247202
870_seed.data	-1232.2583578807	-685.98591137151
871_seed.data	-938.80796462135	-488.995192035458
872_seed.data	-830.997991081305	-381.201785075544
873_seed.data	-1043.02233664073	-603.700537055968
874_seed.data	-1100.1293217654	-558.044984819535
875_seed.data	-1489.95799334631	-890.946938966851
876_seed.data	-1117.55493389317	-519.532050567716
877_seed.data	-1358.22588382882	-828.215437479433
878_seed.data	-1293.03307365225	-780.822378782009
879_seed.data	-1298.98727182582	-791.683047800213
880_seed.data	-1121.23639908406	-495.906793324018
881_seed.data	-1344.49716808822	-827.767887374447
882_seed.data	-913.381464555881	-462.331855254109
883_seed.data	-1379.60234306426	-714.857747255701
884_seed.data	-1481.36113138805	-973.450392083455
885_seed.data	-1072.97475658244	-625.581348184983
886_seed.data	-1026.55839717067	-620.84282351749
887_seed.data	-1402.30471740569	-756.806510481033
888_seed.data	-891.480708472081	-315.939754710567
889_seed.data	-1323.84414002005	-736.147354749732
890_seed.data	-1333.99658732189	-805.269156578786
891_seed.data	-1021.67870228917	-496.704832144591
892_seed.data	-973.908603347874	-407.095438616384
893_seed.data	-917.258998638166	-551.65471705572
894_seed.data	-1195.40090761137	-601.294236728329
895_seed.data	-843.024897711311	-394.379380356944
896_seed.data	-897.625923630846	-474.97953122233
897_seed.data	-885.438895602982	-451.934183488298
898_seed.data	-1012.04200575159	-426.581479963258
899_seed.data	-1207.19998367002	-668.689094943371
900_seed.data	-900.205560766696	-477.928420314879
901_seed.data	-997.642308220657	-588.081353099491
902_seed.data	-1190.77531434312	-523.672399459382
903_seed.data	-1241.34446781333	-779.523121966771
904_seed.data	-1050.96562186155	-586.085880073397
905_seed.data	-1349.88127122862	-754.594165113329
906_seed.data	-1352.00996913586	-874.64969931068
907_seed.data	-1453.01990189596	-933.739952380577
908_seed.data	-907.5788913008	-481.938994086569
